session_id,reply_link_id,comment_id,comment_first_seen_ms,candidate_reply_event_id,candidate_reply_start_ms,response_link_type,response_latency_ms,link_evidence,alternative_link_candidates,confidence,arbitration_status,completion_status
latest_live_01,latest_live_01-RL00001,latest_live_01-COM00001,2820000,latest_live_01-SEM0122-000002827040,2827040,insufficient_source_evidence,7040,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00002,latest_live_01-COM00002,5520000,latest_live_01-SEM0222-000005528520,5528520,insufficient_source_evidence,8520,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00003,latest_live_01-COM00003,3960000,latest_live_01-SEM0164-000003977490,3977490,insufficient_source_evidence,17490,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00004,latest_live_01-COM00004,4860000,latest_live_01-SEM0199-000004880690,4880690,topic_related_not_causal,20690,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00005,latest_live_01-COM00005,660000,latest_live_01-SEM0027-000000677380,677380,insufficient_source_evidence,17380,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00006,latest_live_01-COM00006,3480000,latest_live_01-SEM0145-000003517870,3517870,insufficient_source_evidence,37870,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00007,latest_live_01-COM00007,3240000,latest_live_01-SEM0140-000003252220,3252220,insufficient_source_evidence,12220,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00008,latest_live_01-COM00008,2580000,latest_live_01-SEM0110-000002588840,2588840,insufficient_source_evidence,8840,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00009,latest_live_01-COM00009,2640000,latest_live_01-SEM0113-000002648220,2648220,insufficient_source_evidence,8220,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00010,latest_live_01-COM00010,2580000,latest_live_01-SEM0110-000002588840,2588840,topic_related_not_causal,8840,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00011,latest_live_01-COM00011,2640000,latest_live_01-SEM0113-000002648220,2648220,topic_related_not_causal,8220,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00012,latest_live_01-COM00012,4860000,latest_live_01-SEM0199-000004880690,4880690,topic_related_not_causal,20690,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00013,latest_live_01-COM00013,4860000,latest_live_01-SEM0199-000004880690,4880690,insufficient_source_evidence,20690,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00014,latest_live_01-COM00014,4620000,latest_live_01-SEM0188-000004628340,4628340,topic_related_not_causal,8340,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00015,latest_live_01-COM00015,4560000,latest_live_01-SEM0186-000004569860,4569860,insufficient_source_evidence,9860,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00016,latest_live_01-COM00016,4440000,latest_live_01-SEM0182-000004477210,4477210,topic_related_not_causal,37210,host_text_and_comment_share_topic_but_no_direct_visual_or_verbal_address,direct_reply_requires_explicit_comment_addressing_evidence,0.54,final_enum_no_candidate_pending_review,passed
latest_live_01,latest_live_01-RL00017,latest_live_01-COM00017,4680000,latest_live_01-SEM0190-000004689940,4689940,insufficient_source_evidence,9940,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00018,latest_live_01-COM00018,5280000,latest_live_01-SEM0213-000005305510,5305510,insufficient_source_evidence,25510,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00019,latest_live_01-COM00019,5220000,latest_live_01-SEM0212-000005258220,5258220,insufficient_source_evidence,38220,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00020,latest_live_01-COM00020,5340000,latest_live_01-SEM0215-000005359260,5359260,insufficient_source_evidence,19260,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00021,latest_live_01-COM00021,3780000,latest_live_01-SEM0155-000003793910,3793910,insufficient_source_evidence,13910,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00022,latest_live_01-COM00022,1860000,latest_live_01-SEM0079-000001864220,1864220,insufficient_source_evidence,4220,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00023,latest_live_01-COM00023,1920000,latest_live_01-SEM0082-000001925470,1925470,insufficient_source_evidence,5470,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00024,latest_live_01-COM00024,3360000,latest_live_01-SEM0143-000003411760,3411760,insufficient_source_evidence,51760,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
latest_live_01,latest_live_01-RL00025,latest_live_01-COM00025,3660000,latest_live_01-SEM0151-000003674180,3674180,insufficient_source_evidence,14180,temporal_proximity_only_not_enough_for_direct_reply,direct_reply_requires_explicit_comment_addressing_evidence,0.42,final_enum_no_candidate_pending_review,partial_source_limited
