session_id,comment_id,anonymous_user_id,dedupe_group_id,comment_text_redacted,intent,risk,first_seen_ms,last_seen_ms,seen_count,source_window_ids,comment_change_segment_ids,evidence_refs,ocr_confidence_avg,source_mix,final_state,completion_status
latest_live_01,latest_live_01-COM00001,latest_live_01-AU15842afdf7,latest_live_01-DG6343e0576464,***下**号链接,promotional,none,2820000,2880000,1,latest_live_01-ACTQW0048-A01,latest_live_01-CHG-comment-000002844000;latest_live_01-CHG-host-000002844000;latest_live_01-CHG-scene-000002844000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0048-A01_qwen-vl-plus.json,0.92,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00002,latest_live_01-AU9d69d01163,latest_live_01-DGbde2bb8a05ba,***下号商品来了,engagement,none,5520000,5580000,1,latest_live_01-ACTQW0093-A01,latest_live_01-CHG-comment-000005526000;latest_live_01-CHG-host-000005524000;latest_live_01-CHG-scene-000005571000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0093-A01_qwen-vl-plus.json,0.91,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00003,latest_live_01-AU128b643a29,latest_live_01-DGcb4ee966a538,*** 下面2号商品,推广,none,3960000,4020000,1,latest_live_01-ACTQW0067-A01,latest_live_01-CHG-comment-000004003000;latest_live_01-CHG-host-000004017000;latest_live_01-CHG-scene-000004017000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0067-A01_qwen-vl-plus.json,0.88,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00004,latest_live_01-AUd304f122fa,latest_live_01-DG2d49f261a49d,13...拍了球...不会...也白费...所有拍了的姐妹记得领取练...能...,engagement,none,4860000,4920000,1,latest_live_01-ACTQW0082-A01,latest_live_01-CHG-comment-000004862000;latest_live_01-CHG-host-000004862000;latest_live_01-CHG-scene-000004862000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0082-A01_qwen-vl-plus.json,0.79,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00005,latest_live_01-AU6b44f768b4,latest_live_01-DGcd3f0c85b158,666,support,none,660000,1440000,2,latest_live_01-ACTQW0012-A01;latest_live_01-ACTQW0024-A01,latest_live_01-CHG-comment-000000708000;latest_live_01-CHG-comment-000001397000;latest_live_01-CHG-host-000000708000;latest_live_01-CHG-host-000001419000;latest_live_01-CHG-scene-000000708000;latest_live_01-CHG-scene-000001430000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0012-A01_qwen-vl-plus.json;_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0024-A01_qwen-vl-plus.json,0.9,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00006,latest_live_01-AUa78b300001,latest_live_01-DG6138affcb6e2,7.7风和日丽来了,互动,none,3480000,3540000,1,latest_live_01-ACTQW0059-A01,latest_live_01-CHG-comment-000003514000;latest_live_01-CHG-host-000003517000;latest_live_01-CHG-scene-000003517000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0059-A01_qwen-vl-plus.json,0.82,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00007,latest_live_01-AUdbd8ea4d0d,latest_live_01-DG5932d2830774,888加入了直播间,greeting,none,3240000,3300000,1,latest_live_01-ACTQW0055-A01,latest_live_01-CHG-comment-000003258000;latest_live_01-CHG-host-000003258000;latest_live_01-CHG-scene-000003262000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0055-A01_qwen-vl-plus.json,0.95,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00008,latest_live_01-AUb44fc518af,latest_live_01-DG61f926ee7398,Azenlee: 怎么锻炼,咨询/求助,none,2580000,2640000,1,latest_live_01-ACTQW0044-A01,latest_live_01-CHG-comment-000002594000;latest_live_01-CHG-host-000002590000;latest_live_01-CHG-scene-000002587000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0044-A01_qwen-vl-plus.json,0.9,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00009,latest_live_01-AU7967982378,latest_live_01-DG0b85e1074d08,Azenlee: 怎么领啊,询问领取方式,none,2640000,2700000,1,latest_live_01-ACTQW0045-A02,latest_live_01-CHG-comment-000002667000;latest_live_01-CHG-host-000002698000;latest_live_01-CHG-scene-000002642000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0045-A02_qwen3-vl-plus.json,0.94,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
latest_live_01,latest_live_01-COM00010,latest_live_01-AUcaeeddee2e,latest_live_01-DG6c69cf69e100,Azenlee: 我有点懒，按摩手法可以吗,咨询/求助,none,2580000,2640000,1,latest_live_01-ACTQW0044-A01,latest_live_01-CHG-comment-000002594000;latest_live_01-CHG-host-000002590000;latest_live_01-CHG-scene-000002587000,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0044-A01_qwen-vl-plus.json,0.91,new_526_missing_window,observed_lifecycle_completed_source_limited_reply,passed
