session_id,risk_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,risk_level,risk_evidence,handover_required,handover_reason,safe_fallback,completion_status
latest_live_01,RISK000001,latest_live_01-SEM0001-000000000160,latest_live_01-COM00001,0,00:00:00,comment_reply_causality,medium,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000002,latest_live_01-SEM0001-000000000160,latest_live_01-COM00002,0,00:00:00,comment_reply_causality,medium,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000003,latest_live_01-SEM0010-000000322680,latest_live_01-COM00003,300000,00:05:00,comment_reply_causality,medium,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000004,latest_live_01-SEM0010-000000322680,latest_live_01-COM00004,300000,00:05:00,comment_reply_causality,medium,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000005,latest_live_01-SEM0010-000000322680,latest_live_01-COM00005,300000,00:05:00,comment_reply_causality,medium,comment_visible_then_host_speech_nearby_but_no_direct_address_proof,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000006,latest_live_01-SEM0023-000000592680,latest_live_01-COM00006,600000,00:10:00,comment_reply_causality,medium,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000007,latest_live_01-SEM0023-000000592680,latest_live_01-COM00007,600000,00:10:00,comment_reply_causality,medium,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000008,latest_live_01-SEM0023-000000592680,latest_live_01-COM00008,600000,00:10:00,comment_reply_causality,medium,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000009,latest_live_01-SEM0039-000000896920,latest_live_01-COM00009,900000,00:15:00,comment_reply_causality,medium,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
latest_live_01,RISK000010,latest_live_01-SEM0039-000000896920,latest_live_01-COM00010,900000,00:15:00,comment_reply_causality,medium,host_speech_temporally_near_comment_but_delta_outside_direct_reply_window,true,评论回复因果不足，不能让数字人声称已答复该评论。,只做主题泛化回应或转人工。,partial
