session_id,comment_id,dedupe_group_id,comment_text_redacted,comment_intent_candidate,comment_risk,first_seen_ms,last_seen_ms,seen_count,source_window_ids,evidence_refs,final_state,completion_status
latest_live_01,latest_live_01-COM00001,latest_live_01-DGcbc42e3a2d4e,私教课程-东方瑜伽，私教练课,咨询/询问,none,0,8000,1,latest_live_01-QW0001,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0001_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00002,latest_live_01-DG4d289cc138e5,五天免费练一练，指导,推广/宣传,none,0,8000,1,latest_live_01-QW0001,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0001_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00003,latest_live_01-DG3e0d900aeddd,老师讲得很好，受益匪浅。,positive_feedback,none,300000,308000,1,latest_live_01-QW0002,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00004,latest_live_01-DG7a5725b55183,期待下一期课程。,future_engagement,none,300000,308000,1,latest_live_01-QW0002,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00005,latest_live_01-DG1684d19545bb,学习到了很多实用技巧。,positive_feedback,none,300000,308000,1,latest_live_01-QW0002,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00006,latest_live_01-DG2e2b69a42445,老师讲得很好，谢谢！,appreciation,none,600000,608000,1,latest_live_01-QW0003,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00007,latest_live_01-DG6c5cc92ab3ee,期待下节课！,anticipation,none,600000,608000,1,latest_live_01-QW0003,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00008,latest_live_01-DG57708c1ed278,学到很多，感谢老师。,appreciation,none,600000,608000,1,latest_live_01-QW0003,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00009,latest_live_01-DG7142050a8222,老师好！,greeting,none,900000,3608000,4,latest_live_01-QW0004;latest_live_01-QW0005;latest_live_01-QW0012;latest_live_01-QW0013,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json;_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json;_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0012_qwen-vl-plus.json;_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0013_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
latest_live_01,latest_live_01-COM00010,latest_live_01-DG03eb61650869,期待老师的课程！,anticipation,none,900000,908000,1,latest_live_01-QW0004,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,observed_lifecycle_completed_source_limited_reply,partial
